generation,Npop,diversity,encountered,core_pop,core_size
1035,674,106,3818,424,4
1036,664,109,3820,434,5
1037,663,112,3820,407,4
1038,688,106,3820,432,4
1039,703,96,3821,451,4
1040,669,100,3821,425,4
1041,648,102,3821,408,5
1042,680,106,3822,432,4
1043,654,102,3822,413,6
1044,680,109,3823,424,4
1045,678,113,3825,424,4
1046,708,108,3825,474,7
1047,740,112,3826,514,6
1048,657,101,3827,436,7
1049,656,106,3827,421,8
1050,711,107,3829,460,5
1051,665,108,3829,429,5
1052,652,106,3830,410,4
1053,696,99,3831,474,5
1054,666,100,3831,436,5
1055,686,101,3832,453,7
1056,671,97,3832,431,4
1057,663,100,3832,428,5
1058,684,106,3832,461,7
1059,717,102,3834,478,5
1060,677,104,3834,438,4
1061,700,103,3837,482,5
1062,682,105,3837,449,5
1063,690,108,3838,438,5
1064,706,104,3838,463,4
1065,688,104,3838,452,5
1066,704,101,3838,485,4
1067,658,109,3839,444,9
1068,711,100,3840,471,4
1069,662,106,3840,414,5
1070,697,103,3842,458,7
1071,663,106,3842,419,7
1072,704,102,3842,474,6
1073,670,110,3843,429,5
1074,630,98,3844,399,6
1075,690,98,3845,456,6
1076,703,101,3846,480,8
1077,707,103,3847,460,5
1078,694,108,3848,463,7
1079,677,102,3849,428,5
1080,679,113,3850,445,6
1081,674,101,3851,442,7
1082,701,110,3852,454,6
1083,696,103,3853,443,6
1084,683,100,3854,464,9
1085,674,113,3855,418,5
1086,696,107,3857,467,6
1087,694,107,3859,449,5
1088,728,113,3862,496,5
1089,717,111,3863,478,6
1090,705,98,3863,471,6
1091,728,95,3863,502,5
1092,712,106,3866,482,5
1093,679,109,3867,451,6
1094,672,108,3867,429,5
1095,668,94,3867,432,6
1096,651,99,3869,449,11
1097,638,97,3870,436,9
1098,638,104,3870,396,4
1099,680,96,3871,454,6
1100,699,107,3872,442,4
1101,633,99,3872,388,4
1102,714,102,3872,480,5
1103,655,103,3875,419,5
1104,746,103,3876,525,6
1105,661,102,3876,432,7
1106,695,104,3876,449,5
1107,672,94,3876,442,5
1108,640,101,3877,424,7
1109,685,107,3879,452,5
1110,666,101,3880,439,5
1111,673,106,3881,446,4
