generation,Npop,diversity,encountered,core_pop,core_size
2560,487,93,11653,305,4
2561,391,89,11654,262,7
2562,558,101,11656,368,5
2563,485,92,11657,328,6
2564,543,91,11659,369,7
2565,569,97,11660,382,4
2566,506,87,11661,336,4
2567,519,95,11662,328,4
2568,489,91,11662,340,9
2569,552,96,11662,369,6
2570,484,93,11665,330,9
2571,549,97,11665,384,8
2572,498,93,11665,339,7
2573,586,98,11667,415,8
2574,556,98,11668,381,5
2575,553,97,11671,372,6
2576,454,92,11673,304,8
2577,440,92,11673,288,8
2578,306,82,11676,196,8
2579,299,79,11690,220,11
2580,331,68,11698,229,6
2581,325,57,11703,221,4
2582,298,65,11711,193,4
2583,260,53,11722,175,4
2584,254,57,11729,167,4
2585,266,55,11734,170,2
2586,333,57,11736,216,2
2587,278,53,11741,196,5
2588,289,56,11745,194,3
2589,403,64,11755,272,3
2590,380,74,11767,260,7
2591,375,67,11773,260,6
2592,588,100,11793,396,7
2593,771,113,11807,492,5
2594,1102,127,11830,686,5
2595,1563,125,11867,1019,4
2596,1642,127,11903,1087,4
2597,1638,120,11943,1033,2
2598,1599,119,11974,987,2
2599,1671,112,12000,1079,2
2600,1634,116,12023,1027,2
2601,1627,119,12042,1018,2
2602,1642,103,12061,1046,2
2603,1681,110,12074,1089,2
2604,1672,97,12082,1076,2
2605,1584,104,12089,966,2
2606,1635,118,12108,1030,2
2607,1682,106,12117,1097,2
2608,1607,105,12127,997,2
2609,1630,113,12138,1022,2
2610,1664,104,12142,1065,2
2611,1640,100,12145,1037,2
2612,1682,109,12156,1088,2
2613,1601,116,12164,990,2
2614,1644,104,12166,1045,2
2615,1671,110,12174,1072,2
2616,1713,109,12179,1121,2
2617,1624,109,12184,1016,2
2618,1599,113,12185,1000,3
2619,1627,96,12185,1025,2
2620,1636,99,12189,1029,2
2621,1609,98,12193,998,2
2622,1667,105,12197,1079,2
2623,1704,107,12202,1116,2
2624,1634,107,12207,1031,2
2625,1580,95,12212,962,2
2626,1614,102,12216,1010,2
2627,1645,119,12225,1031,2
2628,1654,129,12244,1046,3
2629,1788,136,12276,1141,3
2630,1870,133,12294,1219,3
2631,1867,131,12314,1183,2
2632,1858,120,12334,1186,2
2633,1888,117,12349,1227,2
2634,1880,113,12363,1219,2
2635,1895,113,12376,1236,2
2636,1851,122,12396,1180,2
2637,1796,119,12416,1166,3
2638,1459,124,12442,969,4
2639,1449,124,12457,937,3
2640,1426,125,12472,937,4
2641,1466,112,12485,982,4
2642,1450,123,12503,947,3
2643,1431,114,12514,917,3
2644,1401,117,12523,876,3
2645,1407,131,12538,917,4
2646,1472,123,12543,965,3
2647,1429,114,12549,934,4
2648,1481,114,12559,975,3
2649,1335,117,12564,827,5
2650,1361,118,12569,873,5
2651,1427,123,12573,929,4
2652,1411,124,12584,909,4
2653,1466,131,12593,980,4
2654,1451,113,12597,996,5
2655,1465,123,12606,1001,5
2656,1420,120,12613,946,4
2657,1379,126,12616,885,6
2658,1212,132,12639,770,4
2659,1148,126,12648,717,4
2660,1153,123,12653,745,4
2661,1155,141,12666,732,4
2662,1177,131,12674,744,4
2663,1176,126,12680,772,5
2664,1178,124,12685,768,4
2665,1177,131,12691,746,4
2666,1218,127,12695,792,4
2667,1165,136,12702,752,5
2668,1142,134,12711,730,5
2669,1177,128,12722,788,5
2670,1152,125,12723,758,5
2671,1178,132,12735,767,4
2672,1121,136,12743,743,6
2673,1143,133,12747,734,5
2674,1196,123,12750,773,4
2675,1191,123,12754,777,4
2676,1202,125,12757,801,4
2677,1246,126,12764,834,4
2678,1196,136,12768,790,4
2679,1117,133,12772,709,4
2680,1172,117,12774,748,4
2681,1199,126,12781,784,4
2682,1149,131,12787,755,5
2683,1140,122,12794,760,6
2684,1200,131,12796,788,4
2685,1157,130,12804,770,6
2686,1139,134,12808,713,4
2687,1207,126,12809,782,4
2688,1222,118,12814,823,4
2689,1153,131,12821,734,4
2690,1181,134,12823,769,5
2691,1134,130,12825,692,4
2692,1174,121,12827,751,4
2693,1154,129,12834,739,4
2694,1151,129,12838,721,4
2695,1151,125,12839,736,4
2696,1162,118,12841,784,5
2697,1110,114,12842,741,6
2698,1154,120,12843,736,5
2699,1167,118,12845,740,4
2700,1133,120,12852,701,4
2701,1166,120,12853,753,4
2702,1123,125,12854,713,4
2703,1157,122,12859,750,4
2704,1121,133,12859,728,6
2705,1084,129,12859,680,5
2706,1121,126,12862,722,5
2707,1118,128,12863,688,4
2708,1130,132,12864,703,4
2709,1092,128,12867,699,6
2710,1108,124,12869,726,6
2711,1139,120,12871,724,4
2712,1151,124,12876,739,4
2713,1138,127,12880,734,5
2714,1157,123,12885,756,5
2715,1190,136,12888,779,4
2716,1168,131,12890,755,4
2717,1144,131,12891,723,4
2718,1174,125,12895,749,4
2719,1116,124,12898,704,4
2720,1186,117,12901,797,4
2721,1179,129,12904,773,4
2722,1113,122,12907,710,4
2723,1108,133,12910,697,4
2724,1150,129,12913,732,4
2725,1182,129,12915,750,4
2726,1212,116,12916,807,5
2727,1225,131,12919,816,4
2728,1237,131,12922,830,4
2729,1202,124,12928,780,4
2730,1188,125,12930,790,5
2731,1208,134,12932,806,4
2732,1111,134,12933,726,5
2733,1136,138,12937,719,4
2734,1173,134,12939,767,4
2735,1158,127,12941,743,4
2736,1169,132,12944,736,4
2737,1209,121,12944,803,5
2738,1214,128,12945,815,4
2739,1202,120,12948,791,4
2740,1193,125,12949,764,4
2741,1170,125,12952,761,5
2742,1153,130,12954,734,5
2743,1174,131,12958,731,4
2744,1199,121,12963,788,4
2745,1137,121,12966,771,6
2746,1148,125,12967,747,5
2747,1140,124,12968,753,6
2748,1184,125,12969,764,4
2749,1125,125,12971,716,5
2750,1143,131,12975,704,4
2751,1122,132,12979,699,5
2752,1112,132,12981,687,4
2753,1061,133,12983,625,4
2754,1087,133,12983,675,5
2755,1160,129,12983,755,5
2756,1163,133,12985,726,4
2757,1168,122,12986,748,4
2758,1111,125,12988,689,4
2759,1090,127,12991,685,5
2760,1150,128,12991,736,4
2761,1203,122,12993,791,5
2762,1256,125,12993,834,4
2763,1216,121,12998,809,4
2764,1176,124,12999,759,4
2765,1126,128,13000,724,5
2766,1158,132,13001,733,4
2767,1148,129,13002,720,4
2768,1117,130,13004,682,4
2769,1127,127,13005,742,8
2770,1165,137,13007,742,4
2771,1175,125,13009,778,5
2772,1232,124,13010,814,4
2773,1210,129,13010,805,4
2774,1149,132,13016,734,4
2775,1139,138,13016,715,4
2776,1173,127,13017,752,4
2777,1156,128,13021,728,4
2778,1191,122,13021,774,4
2779,1172,128,13021,777,5
2780,1166,129,13023,766,5
2781,1191,127,13025,779,4
2782,1181,130,13027,767,4
2783,1244,133,13028,821,4
2784,1163,131,13034,736,5
2785,1136,125,13034,701,4
2786,1179,125,13037,752,4
2787,1162,119,13038,757,4
2788,1109,122,13040,714,5
2789,1170,120,13041,782,5
2790,1187,125,13044,775,4
2791,1178,135,13046,760,4
2792,1195,128,13047,767,4
2793,1146,118,13052,730,4
2794,1142,123,13054,719,4
2795,1179,133,13056,742,4
2796,1170,127,13057,745,4
2797,1152,133,13058,735,4
2798,1208,132,13059,818,5
2799,1129,126,13060,718,4
2800,1201,122,13062,787,4
2801,1189,131,13063,765,4
2802,1156,131,13065,740,4
2803,1182,130,13065,753,4
2804,1173,135,13066,765,4
2805,1150,125,13067,763,5
2806,1106,128,13069,696,4
2807,1180,127,13072,783,5
2808,1183,123,13073,782,5
2809,1194,118,13075,773,4
2810,1166,124,13076,764,5
2811,1191,133,13076,793,5
2812,1181,137,13077,766,4
2813,1158,133,13077,737,4
2814,1169,132,13081,739,4
2815,1114,138,13082,697,5
2816,1142,136,13083,732,5
2817,1134,130,13085,733,5
2818,1154,131,13088,728,4
2819,1192,124,13089,782,5
2820,1202,138,13093,773,4
2821,1142,138,13094,704,4
2822,1167,125,13096,737,4
2823,1213,125,13097,792,4
2824,1184,126,13099,786,4
2825,1175,126,13101,754,4
2826,1161,135,13102,757,4
2827,1114,131,13104,689,4
2828,1130,131,13105,713,4
2829,1145,131,13106,736,5
2830,1200,129,13108,764,4
2831,1210,130,13109,798,4
2832,1132,134,13109,745,6
2833,1214,132,13110,819,5
2834,1122,134,13113,737,6
2835,1195,127,13116,773,4
2836,1204,123,13118,796,4
2837,1130,134,13118,736,5
2838,1175,129,13122,765,4
2839,1190,125,13122,770,4
2840,1190,126,13123,782,5
2841,1160,121,13126,789,7
2842,1159,133,13127,748,5
2843,1152,136,13127,723,4
2844,1147,126,13127,748,4
2845,1148,128,13128,771,5
2846,1201,128,13130,790,5
2847,1190,120,13130,794,5
2848,1120,117,13130,730,5
2849,1143,120,13132,753,4
2850,1147,121,13135,765,5
2851,1149,133,13137,725,4
2852,1129,145,13139,705,4
2853,1184,141,13139,757,4
2854,1181,134,13143,765,4
2855,1154,130,13145,733,4
2856,1169,136,13148,748,4
2857,1135,136,13149,715,4
2858,1172,123,13149,772,5
2859,1144,120,13149,755,6
2860,1149,121,13149,759,5
2861,1157,123,13150,734,4
2862,1167,122,13151,726,4
2863,1192,122,13154,753,4
2864,1136,120,13155,715,5
2865,1131,124,13156,692,4
2866,1123,119,13157,701,4
2867,1162,129,13161,736,4
2868,1211,126,13162,772,4
2869,1185,140,13164,748,4
2870,1172,138,13166,734,4
2871,1163,126,13168,748,5
2872,1147,138,13169,707,4
2873,1181,137,13171,771,5
2874,1212,134,13174,802,4
2875,1164,132,13175,746,4
2876,1213,127,13177,821,4
2877,1170,126,13179,761,4
2878,1184,136,13180,768,4
